county,TotalCasesPer100K,TotalDeathsPer100K,NewPoverty
"Brown, Texas",987088.1520099506,30595.178235901236,16.913729589541376
"Brown, Wisconsin",1544486.5195888437,11060.293638858313,11.279173191113316
"Brule, South Dakota",1491969.696969697,14090.90909090909,14.494375
"Brunswick, North Carolina",567430.2122591487,9567.97676733069,14.130674791574894
"Brunswick, Virginia",716270.1551566778,7526.620018253727,18.71369029510192
"Bryan, Georgia",961012.527592237,10973.826792420377,14.121652380815869
"Bryan, Oklahoma",1154462.1460903522,9239.37161622437,17.646194639211856
"Buchanan, Iowa",847879.2474290318,9615.658025685987,7.804037723330648
"Buchanan, Missouri",1267708.135308918,17107.07296617277,16.91206485882024
"Buchanan, Virginia",443748.6179293264,10525.850249878378,26.33688470213613
"Buckingham, Virginia",1500404.7395588926,14764.195213514782,16.49746597841389
"Bucks, Pennsylvania",708769.3898985772,31816.832299524653,6.139681014420115
"Buena Vista, Iowa",3308532.574009524,21144.877018999458,13.76051352545535
"Buena Vista city, Virginia",967174.7498075444,10392.609699769055,20.8
"Buffalo, Nebraska",1145593.2342220584,11221.689806282508,15.408006716631856
"Buffalo, South Dakota",2982177.7343749995,71142.578125,40.5
"Buffalo, Wisconsin",921430.1895340935,7619.1195348486,10.720629766669182
"Bullitt, Kentucky",689011.9813792576,5651.090025692554,10.205855867314492
"Bulloch, Georgia",1041972.0105231755,12900.382414363592,33.30961324618264
"Bullock, Alabama",1649961.8247757205,44006.4897881275,28.627867913723996
"Buncombe, North Carolina",528671.492222557,12507.729874577832,13.291353639779915
"Bureau, Illinois",998090.3655670901,23715.75597132574,12.634459680537791
"Burke, Georgia",1187807.4630161184,18304.261426363435,29.14306911017885
"Burke, North Carolina",1040422.7316700039,15928.36734234741,19.44242840108889
"Burke, North Dakota",1093786.063027075,8166.888592987128,7.299999999999999
"Burleigh, North Dakota",1889917.9405014508,22073.788593946218,8.600180790715802
"Burleson, Texas",879370.3114344169,13520.11820868379,15.24294726074108
"Burlington, New Jersey",781349.6233236566,32705.836257101637,6.49721232791323
"Burnet, Texas",701794.8774907257,9976.231201546083,12.341002288024525
"Burnett, Wisconsin",808248.5727409935,14653.19246669729,14.57362031629372
"Burt, Nebraska",933669.416437519,11335.166513901619,12.299098686220592
"Butler, Alabama",1448077.114180662,54933.91632713903,24.456812083871608
"Butler, Iowa",1085244.9062204831,14768.587235190933,9.433126433679664
"Butler, Kansas",938299.1246604286,4809.840024147299,10.83392393600966
"Butler, Kentucky",1170106.0070671379,35068.70828425599,22.065473105614448
"Butler, Missouri",829717.9283612759,5174.426750105076,21.56685191238967
"Butler, Nebraska",1122504.6267735965,12843.92350400987,7.815274521900062
"Butler, Ohio",867231.4760102422,9380.839069262342,13.989767155884184
"Butler, Pennsylvania",565693.8231245698,12939.822780454233,8.537631731761872
"Butte, California",447403.94392714265,6096.613337951308,20.78816999471597
"Butte, Idaho",787026.4064293915,1913.5093761959433,16.2
"Butte, South Dakota",988385.3247008043,18883.65705316853,11.124828330390423
"Butts, Georgia",1155123.9599252844,51562.23467481746,23.052453727288167
"Cabarrus, North Carolina",846740.9870066491,12591.248297037353,11.54111917688444
"Cabell, West Virginia",642947.9708636837,12058.272632674298,24.31764620187305
"Cache, Utah",1236758.446395318,2442.471401968609,15.631550113061984
"Caddo, Oklahoma",1278544.009240072,24659.442198593606,20.552913000645447
"Calaveras, California",332441.13012406504,7437.246154870497,12.81062653971636
"Caldwell, Kentucky",851502.3142700243,10622.107162469601,17.515242802227974
"Caldwell, Missouri",697932.7879725846,7450.806986513377,13.253769621932344
"Caldwell, North Carolina",986236.782592751,6636.513660534197,16.451802457062527
"Caldwell, Texas",1144815.5090765588,21672.750591949487,17.675784333070244
"Caledonia, Vermont",98155.41601255888,922.2919937205652,12.51957744636316
"Calhoun, Alabama",1151084.1621439145,18993.82828256598,19.13490266344664
"Calhoun, Arkansas",546726.992683866,2733.923758182518,19.47843665768194
"Calhoun, Florida",1340524.277216766,30647.39244708812,12.852102642135842
"Calhoun, Georgia",1259803.167768722,39258.80362909426,27.50979547900969
"Calhoun, Illinois",853502.1441699,5758.6277312640395,12.973820706555037
"Calhoun, Iowa",1437293.6621153452,12237.619726920724,15.214683105767271
"Calhoun, Michigan",734477.0597124926,19289.49503822761,17.452451108116758
"Calhoun, Mississippi",1240836.0128617364,23575.289047000068,26.90179243346788
"Calhoun, South Carolina",935352.5121555916,27924.09508373852,18.25380875202593
"Calhoun, Texas",984235.3695980937,10049.951881215344,15.844232619953257
"Calhoun, West Virginia",225422.8187919463,0.0,17.13103355704698
"Callahan, Texas",599648.6090775988,18689.6046852123,15.628755490483162
"Callaway, Missouri",989181.3452994887,6052.284955238541,12.934045498180518
"Calloway, Kentucky",819556.6604516263,8770.975761342448,24.87326496788896
"Calumet, Wisconsin",1315374.8718258038,8561.031023181937,5.925576532561273
"Calvert, Maryland",419907.7336386858,10663.481018233066,5.695033251123052
"Camas, Idaho",933182.8442437924,0.0,22.3
"Cambria, Pennsylvania",656386.5725577937,17687.36522142326,15.509202110825708
"Camden, Georgia",760305.8256143306,6906.912654061089,13.149410548878512
"Camden, Missouri",927076.134210233,17837.476312562703,17.522539293278342
