county,TotalPop,PorPop,IncomePerCap,NewPoverty
"Benton County, Iowa",25646,222855.09999999998,31759.285714285714,8.68966310535756
"Benton County, Minnesota",39360,555242.1,28101.0,14.106760670731706
"Benton County, Mississippi",8306,167369.6,18121.0,20.15044546111245
"Benton County, Missouri",18918,351794.80000000005,20330.0,18.5957712231737
"Benton County, Oregon",88249,1978644.2000000002,29926.0,22.421151514464754
"Benton County, Tennessee",16154,361262.9,21381.0,22.36368082208741
"Benton County, Washington",190529,2583897.1,30615.833333333332,13.561699793732188
"Benzie County, Michigan",17462,175813.0,28609.2,10.068319780093919
"Bergen County, New Jersey",937920,6770620.0,46790.53631284916,7.21876066189014
"Berkeley County, South Carolina",204632,2617264.0,26031.477272727272,12.79010125493569
"Berkeley County, West Virginia",111610,1453052.9,27152.571428571428,13.019020697070154
"Berks County, Pennsylvania",415500,5643909.0,27260.366666666665,13.583415162454873
"Berkshire County, Massachusetts",127751,1447566.2,34283.94871794872,11.331153572183387
